Fecha,Tsu,Vol,Location Name,Latitude,Longitude,Focal_Depth_km,Mag,MMI_Int,Total_Deaths,Total_Injuries,Temp_C,Wind_ms,Precip_mm
2010-01-02,0.0,0.0,TAJIKISTAN,38.245,71.467,47.0,5.1,0.0,0.0,0.0,-13.0,3.6,0.0
2010-01-03,4522.0,0.0,SOLOMON ISLANDS,-8.743,157.477,26.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-03,4523.0,0.0,SOLOMON ISLANDS,-8.799,157.346,25.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,4542.0,0.0,SOLOMON ISLANDS,-9.019,157.551,15.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-10,0.0,0.0,INDONESIA:  JAVA:  GARUT,-7.907,107.879,65.0,5.1,0.0,1.0,2.0,28.7,12.1,18.8
2010-01-10,0.0,0.0,CALIFORNIA:  OFF COAST NORTHERN,40.652,-124.692,29.0,6.5,0.0,0.0,30.0,0.0,0.0,0.0
2010-01-12,4622.0,0.0,HAITI:  PORT-AU-PRINCE,18.457,-72.533,13.0,7.0,0.0,316000.0,300000.0,26.2,14.8,0.6
2010-01-15,0.0,0.0,VENEZUELA:  CARIACO,10.454,-63.475,8.0,5.5,0.0,0.0,11.0,30.2,16.1,0.0
2010-01-16,0.0,0.0,IRAN:  KHUZESTAN:  ARRJAN,32.45,48.3,5.0,5.0,0.0,0.0,0.0,24.1,7.2,0.0
2010-01-17,0.0,0.0,CHINA:  GUIZHOU PROVINCE,25.558,105.804,27.0,4.4,0.0,7.0,9.0,14.6,8.4,0.0
2010-01-30,0.0,0.0,CHINA:  SICHUAN PROVINCE: MOXI,30.268,105.668,10.0,4.7,0.0,1.0,15.0,15.3,9.7,0.2
2010-02-25,0.0,0.0,CHINA:  YUNNAN PROVINCE,25.523,101.903,36.0,4.8,0.0,0.0,11.0,23.1,16.8,0.0
2010-02-26,4782.0,0.0,"JAPAN:  TORI SHIMA, OKINAWA",25.93,128.425,25.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0
2010-02-27,4682.0,0.0,"CHILE:  MAULE, CONCEPCION, TALCAHUANO",-36.122,-72.898,23.0,8.8,9.0,558.0,12000.0,24.6,11.6,0.0
2010-02-27,0.0,0.0,ARGENTINA:  SALTA,-24.872,-65.602,10.0,6.3,0.0,2.0,2.0,12.4,10.6,8.4
2010-03-04,0.0,0.0,TAIWAN:  KAO-HSIUNG,22.918,120.795,21.0,6.3,0.0,0.0,96.0,23.8,10.1,0.5
2010-03-08,0.0,0.0,"TURKEY:  ELAZIG PROVINCE:  OKCULAR, YUKARI DEMIRCI",38.864,39.986,12.0,6.1,0.0,51.0,100.0,12.0,11.3,1.5
2010-03-11,4722.0,0.0,CHILE:  RANCAGUA,-34.29,-71.891,11.0,6.9,0.0,0.0,0.0,20.1,18.0,0.0
2010-03-30,0.0,0.0,INDIA: ANDAMAN ISLANDS:  DIGLIPUR,13.667,92.831,34.0,6.7,0.0,0.0,10.0,0.0,0.0,0.0
2010-04-04,0.0,0.0,MEXICO:  BAJA CALIFORNIA,32.297,-115.278,4.0,7.2,0.0,2.0,233.0,30.5,14.3,0.0
2010-04-06,4763.0,0.0,INDONESIA:  SUMATRA,2.383,97.048,31.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-13,0.0,0.0,CHINA:  QINGHAI PROVINCE:  YUSHU,33.165,96.548,17.0,6.9,0.0,2220.0,12135.0,0.4,12.5,2.8
2010-04-18,0.0,0.0,AFGHANISTAN:  SAMANGAN PROVINCE,35.633,67.658,13.0,5.6,0.0,11.0,70.0,9.4,8.6,6.5
2010-04-20,0.0,0.0,AUSTRALIA:  KALGOORLIE,-30.794,121.406,0.0,5.2,0.0,0.0,3.0,34.3,20.5,0.0
2010-05-01,0.0,0.0,INDIA:  CHAMOLI,30.099,80.026,36.0,4.5,0.0,0.0,0.0,13.2,8.2,3.4
2010-05-06,0.0,0.0,PERU:  TACNA,-18.058,-70.547,37.0,6.2,0.0,0.0,11.0,21.4,14.4,0.1
2010-05-09,0.0,0.0,INDONESIA:  N. SUMATRA: SIMEULUE ISLAND,3.748,96.018,38.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-14,0.0,0.0,ALGERIA:  NORTHERN:  BENI YELLMAN,35.9,4.12,2.0,5.2,0.0,2.0,43.0,15.1,36.7,9.9
2010-05-16,0.0,0.0,"PUERTO RICO:  LARES, VEGA BAJA",18.4,-67.07,113.0,5.8,0.0,0.0,0.0,29.6,15.5,2.5
2010-05-29,4822.0,5184.0,"ANATAHAN REGION, N. MARIANA ISLANDS",16.591,145.682,10.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-12,4902.0,0.0,INDIA:  LITTLE NICOBAR ISLAND,7.881,91.936,35.0,7.5,6.0,0.0,0.0,0.0,0.0,0.0
2010-06-15,0.0,0.0,CALIFORNIA:  OCOTILLO,32.7,-115.921,5.0,5.8,0.0,0.0,0.0,39.6,9.1,0.0
2010-06-16,0.0,0.0,INDONESIA: NEW GUINEA:  IRIAN JAYA: JAPEN,-2.174,136.543,18.0,7.0,6.0,17.0,0.0,29.7,6.1,6.6
2010-06-18,0.0,0.0,INDIA:  ANDAMAN ISLANDS:  DIGLIPUR,13.197,93.087,20.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-22,0.0,0.0,INDIA:  TAULI,29.872,80.428,16.0,5.2,0.0,0.0,0.0,20.4,7.0,4.6
2010-06-23,0.0,0.0,"CANADA:  QUEBEC:  VAL-DES-BOIS, GRACEFIELD",45.88,-75.48,22.0,5.2,6.0,0.0,0.0,22.6,14.0,2.8
2010-06-30,0.0,0.0,MEXICO:  SAN ANDRES HUAXPALTEPEC,16.396,-97.782,20.0,6.2,0.0,1.0,0.0,27.8,5.2,41.6
2010-07-20,0.0,0.0,IRAN:  FARSINAJ,27.022,53.861,10.0,5.8,0.0,1.0,32.0,39.3,9.4,0.0
2010-07-23,0.0,0.0,PHILIPPINES:  CELEBES SEA:  MORO GULF,6.486,123.467,586.0,7.6,4.0,0.0,0.0,0.0,0.0,0.0
2010-07-30,0.0,0.0,IRAN:  TORBET-I-HEYDARIYEH,35.217,59.308,24.0,5.4,0.0,0.0,274.0,29.0,30.6,0.0
2010-08-10,5222.0,0.0,VANUATU ISLANDS,-17.541,168.069,25.0,7.2,7.0,0.0,0.0,0.0,0.0,0.0
2010-08-12,0.0,0.0,"ECUADOR:  MANTA, GUAYAQUIL, LOJA",-1.266,-77.306,207.0,7.1,0.0,0.0,0.0,28.6,6.2,0.0
2010-08-13,5343.0,0.0,"GUAM, NORTHERN MARIANA ISLANDS",12.484,141.476,10.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-27,0.0,0.0,IRAN:  DAMGHAN-TORUD,35.49,54.47,7.0,5.7,0.0,3.0,200.0,33.6,21.1,0.0
2010-08-29,0.0,0.0,"CHINA:  SICHUAN PROVINCE: NINGANG, ZIAOJIA",27.197,103.005,35.0,4.9,0.0,0.0,14.0,20.6,6.2,0.1
2010-09-03,0.0,0.0,NEW ZEALAND:  CHRISTCHURCH,-43.522,171.83,12.0,7.0,9.0,0.0,2.0,0.7,8.7,3.9
2010-09-06,0.0,0.0,NEW ZEALAND:  SOUTH ISLAND:  CHRISTCHURCH,-43.57,172.388,9.0,5.0,5.0,0.0,0.0,10.8,28.0,1.2
2010-09-06,0.0,0.0,NEW ZEALAND:  NORTH ISLAND:  PORANGAHAU,-40.433,176.818,21.0,5.1,6.0,0.0,0.0,16.8,48.1,2.7
