Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description,Temp_C,Wind_ms,Precip_mm
,2010,1,2,2.0,15.0,12.0,,,TAJIKISTAN,38.245,71.467,47.0,5.1,,,,,,,,1.5,2.0,98.0,2.0,1000.0,3.0,,,,,,,1.5,2.0,98.0,2.0,1000.0,3.0,-13.0,3.6,0.0
,2010,1,3,21.0,48.0,5.3,4522.0,,SOLOMON ISLANDS,-8.743,157.477,26.0,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,1,3,22.0,36.0,27.9,4523.0,,SOLOMON ISLANDS,-8.799,157.346,25.0,7.1,,,,,,,,,1.0,16.0,1.0,60.0,2.0,,,,,,,,1.0,16.0,1.0,60.0,2.0,,,
,2010,1,5,12.0,15.0,32.2,4542.0,,SOLOMON ISLANDS,-9.019,157.551,15.0,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,1,10,0.0,25.0,4.2,,,INDONESIA:  JAVA:  GARUT,-7.907,107.879,65.0,5.1,,1.0,1.0,,,2.0,1.0,,,,,,,1.0,1.0,,,2.0,1.0,,,,,,,28.7,12.1,18.8
,2010,1,10,0.0,27.0,39.3,,,CALIFORNIA:  OFF COAST NORTHERN,40.652,-124.692,29.0,6.5,,,,,,30.0,1.0,21.8,3.0,,,,,,,,,30.0,1.0,21.8,3.0,,,,,,,
,2010,1,12,21.0,53.0,10.0,4622.0,,HAITI:  PORT-AU-PRINCE,18.457,-72.533,13.0,7.0,,316000.0,4.0,,,30000.0,4.0,8000.0,4.0,97294.0,4.0,188383.0,4.0,316000.0,4.0,,,300000.0,4.0,8000.0,4.0,97294.0,4.0,188383.0,4.0,26.2,14.8,0.6
,2010,1,15,18.0,0.0,46.7,,,VENEZUELA:  CARIACO,10.454,-63.475,8.0,5.5,,,,,,11.0,1.0,,1.0,,,3.0,1.0,,,,,11.0,1.0,,1.0,,,3.0,1.0,30.2,16.1,0.0
,2010,1,16,20.0,23.0,37.0,,,IRAN:  KHUZESTAN:  ARRJAN,32.45,48.3,5.0,5.0,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,150.0,3.0,24.1,7.2,0.0
,2010,1,17,9.0,37.0,26.1,,,CHINA:  GUIZHOU PROVINCE,25.558,105.804,27.0,4.4,,7.0,1.0,1.0,,9.0,1.0,,,,,,,7.0,1.0,1.0,1.0,9.0,1.0,,,,,,,14.6,8.4,0.0
,2010,1,30,21.0,36.0,58.0,,,CHINA:  SICHUAN PROVINCE: MOXI,30.268,105.668,10.0,4.7,,1.0,1.0,,,15.0,1.0,,2.0,200.0,3.0,200.0,3.0,1.0,1.0,,,15.0,1.0,,2.0,200.0,3.0,,,15.3,9.7,0.2
,2010,2,25,4.0,56.0,51.9,,,CHINA:  YUNNAN PROVINCE,25.523,101.903,36.0,4.8,,,,,,11.0,1.0,,1.0,,,,1.0,,,,,11.0,1.0,,1.0,,,,1.0,23.1,16.8,0.0
,2010,2,26,20.0,31.0,26.9,4782.0,,"JAPAN:  TORI SHIMA, OKINAWA",25.93,128.425,25.0,7.0,,,,,,2.0,1.0,,1.0,,,,,,,,,2.0,1.0,,1.0,,,,,,,
,2010,2,27,6.0,34.0,11.5,4682.0,,"CHILE:  MAULE, CONCEPCION, TALCAHUANO",-36.122,-72.898,23.0,8.8,9.0,402.0,3.0,,,12000.0,4.0,30000.0,4.0,,,500000.0,4.0,558.0,3.0,,,12000.0,4.0,30000.0,4.0,,,500000.0,4.0,24.6,11.6,0.0
,2010,2,27,15.0,45.0,37.0,,,ARGENTINA:  SALTA,-24.872,-65.602,10.0,6.3,,2.0,1.0,,,2.0,1.0,,,,,,,2.0,1.0,,,2.0,1.0,,,,,,,12.4,10.6,8.4
,2010,3,4,0.0,18.0,51.2,,,TAIWAN:  KAO-HSIUNG,22.918,120.795,21.0,6.3,,,,,,96.0,2.0,1000.0,4.0,,,,,,,,,96.0,2.0,1000.0,4.0,,,340.0,3.0,23.8,10.1,0.5
