Id,Date,Tsu,Vol,Location_Name,Latitude,Longitude,Focal_Depth_km,Mag,MMI_Int,Total_Deaths,Total_Injuries,Temp_C,Wind_ms,Precip_mm
usp000jmmc,2012-06-11,0,0,AFGHANISTAN:  HINDU KUSH,36.023,69.351,16,5.8,0,75,13,18.7,8.9,1.4
usp000jyqe,2018-11-28,0,0,AFGHANISTAN:  HINDU KUSH:  BAGHLAN,35.808,68.687,22,4.9,0,0,9,9.1,7.9,0.3
usb000geu9,2013-04-24,0,0,AFGHANISTAN:  KAMA,34.526,70.22,64,5.5,0,18,141,23.1,7.6,0.0
us20005gsg,2016-04-10,0,0,AFGHANISTAN:  KHYBER PAKHTUNKHWA,36.473,71.131,212,6.6,5,6,5,-7.1,5.2,3.9
usp000hbmk,2010-04-18,0,0,AFGHANISTAN:  SAMANGAN PROVINCE,35.633,67.658,13,5.6,0,11,70,9.4,8.6,6.5
us7000gclu,2022-01-17,0,0,AFGHANISTAN: BADGHIS: QADIS,34.946,63.58,18,5.3,8,28,4,9.9,14.6,0.7
us100078bp,2015-10-26,0,0,AFGHANISTAN: HINDU KUSH,36.524,70.368,231,7.5,7,399,1770,-0.2,6.2,1.5
us7000i57m,2022-09-04,0,0,"AFGHANISTAN: KUNAR, LAGHMAN, NANGARHAR",34.662,70.702,10,5.1,7,8,0,31.9,12.0,7.8
us6000i3el,2022-06-21,0,0,AFGHANISTAN: PAKTIKA PROVINCE; PAKISTAN,33.092,69.514,10,5.9,9,1150,1600,15.3,13.3,11.0
us2000abl2,2018-05-09,0,0,AFGHANISTAN: TAKHAR;  PAKISTAN,36.994,71.382,116,6.2,0,0,13,4.8,6.5,0.0
us100049i1,2015-12-25,0,0,AFGHANISTAN; PAKISTAN,36.494,71.126,206,6.3,5,4,97,-19.1,1.3,0.1
us2000crmu,2018-01-31,0,0,AFGHANISTAN; PAKISTAN:  BALUCHISTAN,36.526,70.851,194,6.2,6,2,15,-2.4,7.2,4.2
usp000j7dc,2015-07-27,5591,0,ALASKA,52.214,-169.399,23,6.9,0,0,0,0.0,0.0,0.0
ak020a7dzfzp,2020-07-22,5753,0,ALASKA,55.03,-158.522,28,7.8,8,0,0,0.0,0.0,0.0
us6000gg09,2020-10-19,5755,0,ALASKA,54.608,-159.655,33,7.6,8,0,0,0.0,0.0,0.0
ak0219p0hp3k,2021-07-29,5799,0,ALASKA PENINSULA,55.325,-157.841,32,8.2,8,0,0,0.0,0.0,0.0
us2000cmy3,2014-06-23,5571,0,ALASKA:  ALEUTIAN ISLANDS,51.849,178.735,109,7.9,0,0,0,0.0,0.0,0.0
us20009jd6,2011-09-02,5438,0,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,52.171,-171.708,32,6.8,0,0,0,0.0,0.0,0.0
usb000jdt7,2018-11-30,0,0,ALASKA:  ANCHORAGE,61.316,-149.925,54,7.0,0,0,117,-0.2,7.0,0.0
ak01613v15nv,2016-01-24,0,0,ALASKA:  KENAI,59.658,-153.452,126,7.1,6,0,0,2.3,31.9,11.1
us2000cmy3,2018-01-23,5673,0,ALASKA:  KODIAK ISLAND,56.004,-149.166,14,7.9,9,0,0,0.0,0.0,0.0
us10008mel,2017-05-01,5649,0,ALASKA:  SKAGWAY; CANADA:  BRITISH COLUMBIA,59.852,-136.677,1,6.2,0,0,0,5.2,12.0,1.1
ak0138esnzr,2013-01-05,5472,0,ALASKA:  SOUTHEASTERN,55.393,-134.652,10,7.5,0,0,0,0.0,0.0,0.0
ak0149guzic1,2014-07-25,5575,0,ALASKA:  SOUTHEASTERN,58.306,-136.96,10,6.1,4,0,0,13.9,20.6,21.7
usc000myqq,2011-06-24,5432,0,ALASKA: ALEUTIAN ISLANDS: FOX ISLANDS,52.05,-171.836,52,7.3,0,0,0,0.0,0.0,0.0
us70006d0m,2014-05-19,0,0,ALBANIA:  BELSH,41.115,19.777,10,5.0,4,0,0,21.1,8.4,0.3
us70006dsc,2019-09-21,0,0,ALBANIA:  DURRES,41.381,19.454,10,5.6,0,0,132,25.9,11.9,0.0
us70006d2z,2019-11-26,0,0,"ALBANIA:  DURRES, THUMANE, TIRANA",41.521,19.559,20,6.4,0,51,2000,18.3,7.7,0.0
us70003u1a,2019-06-01,0,0,ALBANIA:  KORCE,40.501,20.722,10,5.2,0,0,4,18.2,7.1,3.2
usp000hcre,2013-05-19,0,0,ALGERIA:  ALGIERS,36.703,5.261,7,4.9,0,0,5,20.6,13.7,0.0
usb000rz1p,2014-08-01,0,0,ALGERIA:  ALGIERS,36.841,3.301,30,5.5,6,6,420,30.7,11.9,0.0
us6000h5zu,2014-12-23,0,0,ALGERIA:  BLIDA,36.492,3.025,7,4.9,0,0,0,16.3,12.0,0.0
us20005yxt,2013-07-17,0,0,ALGERIA:  HAMMAM MELOUANE,36.534,3.086,10,4.8,0,0,11,29.4,18.2,0.0
usc000ta2u,2016-05-28,0,0,ALGERIA:  MEDEA:  MIHOUB,36.431,3.517,11,5.4,5,0,28,26.8,18.9,0.1
usp000hctt,2010-05-14,0,0,ALGERIA:  NORTHERN:  BENI YELLMAN,35.9,4.12,2,5.2,0,2,43,15.1,36.7,9.9
us7000dker,2021-03-18,5776,0,ALGERIA: BEJAIA,36.915,5.199,8,6.0,8,0,17,15.8,14.5,0.5
