id,mag,place,time,updated,felt,cdi,mmi,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,lon,lat,depth,dist
ak022feebi1z,8.1,"Kenai Peninsula, Alaska",2022-12-01 22:31:27.435,2022-12-01 22:33:15.590,,,,automatic,0,68,ak,022feebi1z,",ak022feebi1z,",",ak,",",origin,phase-data,",1.0,0.0587,0.61,110.0,ml,earthquake,-108.7159,-25.0443,38.6,16
nc73813591,5.5,"8km W of Cobb, CA",2022-12-01 22:27:26.380,2022-12-01 22:29:03.658,,,,automatic,0,14,nc,73813591,",nc73813591,",",nc,",",nearby-cities,origin,phase-data,",23.0,0.009597,0.01,44.0,md,earthquake,-70.8105011,-20.8330002,10.0,8
nc73813586,4.5,"8km W of Cobb, CA",2022-12-01 22:26:40.780,2022-12-01 22:28:13.706,,,,automatic,0,14,nc,73813586,",nc73813586,",",nc,",",nearby-cities,origin,phase-data,",16.0,0.01012,0.01,59.0,md,earthquake,-73.810997,-30.8334999,10.0,8
ci40383384,1.52,"20km ESE of Anza, CA",2022-12-01 22:23:08.470,2022-12-01 22:33:45.700,,,,automatic,0,36,ci,40383384,",ci40383384,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",51.0,0.06478,0.23,37.0,ml,earthquake,-116.4778333,33.4753333,11.36,20
nc73813576,0.79,"8km WNW of Cobb, CA",2022-12-01 22:12:56.560,2022-12-01 22:25:10.634,,,,automatic,0,10,nc,73813576,",nc73813576,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.01276,0.02,58.0,md,earthquake,-122.8096695,38.8361664,10.0,8
nc73813571,0.63,"8km NW of The Geysers, CA",2022-12-01 21:49:40.850,2022-12-01 22:29:17.660,,,,automatic,0,6,nc,73813571,",nc73813571,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.01101,0.02,63.0,md,earthquake,-122.8161697,38.8333321,10.0,8
hv73250427,1.88,"10 km E of P?hala, Hawaii",2022-12-01 21:49:10.960,2022-12-01 21:54:43.250,,,,automatic,0,54,hv,73250427,",hv73250427,",",hv,",",origin,phase-data,",38.0,0.0587,0.129999995,155.0,ml,earthquake,-155.383666992188,19.220832824707,32.3899993896484,10
nc73813566,0.69,"8km NW of The Geysers, CA",2022-12-01 21:48:23.460,2022-12-01 22:19:25.603,,,,automatic,0,7,nc,73813566,",nc73813566,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",9.0,0.01143,0.04,109.0,md,earthquake,-122.817337,38.8333321,10.0,8
nc73813561,0.31,"1km NE of The Geysers, CA",2022-12-01 21:47:28.740,2022-12-01 22:05:17.503,,,,automatic,0,1,nc,73813561,",nc73813561,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.007548,0.01,97.0,md,earthquake,-122.7453308,38.7866669,10.0,1
ak022fedt0yf,1.6,Southern Alaska,2022-12-01 21:45:07.752,2022-12-01 21:46:37.021,,,,automatic,0,39,ak,022fedt0yf,",ak022fedt0yf,",",ak,",",origin,phase-data,",1.0,0.0587,0.35,110.0,ml,earthquake,-151.1281,61.2815,56.1,16
