id,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,geometry
ci40380032,0.6,"4km SSW of Anza, CA",1669240729260,1669240943369,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40380032,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40380032&format=geojson,,,,,automatic,0,6,ci,40380032,",ci40380032,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",22.0,0.05223,0.15,51.0,ml,earthquake,"M 0.6 - 4km SSW of Anza, CA",POINT Z (-116.695 33.5268333 13.15)
ak022f15g472,2.0,"23 km SSE of Fox River, Alaska",1669239312306,1669239516634,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022f15g472,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022f15g472&format=geojson,,,,,automatic,0,62,ak,022f15g472,",ak022f15g472,",",ak,",",origin,phase-data,",,,0.73,,ml,earthquake,"M 2.0 - 23 km SSE of Fox River, Alaska",POINT Z (-150.7654 59.6678 35.3)
us7000irx0,5.1,"Kermadec Islands, New Zealand",1669238563766,1669240875040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000irx0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000irx0&format=geojson,,,,,reviewed,0,400,us,7000irx0,",us7000irx0,",",us,",",origin,phase-data,",25.0,1.035,0.44,151.0,mb,earthquake,"M 5.1 - Kermadec Islands, New Zealand",POINT Z (-177.7657 -30.2919 35)
uu60526207,2.12,"25 km SW of Kanosh, Utah",1669237928140,1669239681460,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60526207,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60526207&format=geojson,,,,,reviewed,0,69,uu,60526207,",uu60526207,",",uu,",",origin,phase-data,",14.0,0.1464,0.16,99.0,ml,earthquake,"M 2.1 - 25 km SW of Kanosh, Utah",POINT Z (-112.6318333 38.6323333 5.09)
ak022f14zwl2,1.7,"22 km WNW of Susitna, Alaska",1669237188705,1669237321753,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022f14zwl2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022f14zwl2&format=geojson,,,,,automatic,0,44,ak,022f14zwl2,",ak022f14zwl2,",",ak,",",origin,phase-data,",,,0.24,,ml,earthquake,"M 1.7 - 22 km WNW of Susitna, Alaska",POINT Z (-150.8663 61.6482 61.3)
uu60526197,2.24,"14 km SW of Enterprise, Utah",1669237128500,1669238448300,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60526197,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60526197&format=geojson,,,,,reviewed,0,77,uu,60526197,",uu60526197,",",uu,",",origin,phase-data,",11.0,0.02819,0.16,97.0,ml,earthquake,"M 2.2 - 14 km SW of Enterprise, Utah",POINT Z (-113.837 37.4851667 6.42)
ak022f14z0ym,1.5,"19 km SSW of Susitna, Alaska",1669236940335,1669237097118,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022f14z0ym,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022f14z0ym&format=geojson,,,,,automatic,0,35,ak,022f14z0ym,",ak022f14z0ym,",",ak,",",origin,phase-data,",,,0.33,,ml,earthquake,"M 1.5 - 19 km SSW of Susitna, Alaska",POINT Z (-150.6712 61.3871 60.5)
us7000irwe,4.9,"17 km ESE of Malango, Solomon Islands",1669235817344,1669237234040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000irwe,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000irwe&format=geojson,,,,,reviewed,0,369,us,7000irwe,",us7000irwe,",",us,",",origin,phase-data,",37.0,0.355,0.81,73.0,mb,earthquake,"M 4.9 - 17 km ESE of Malango, Solomon Islands",POINT Z (159.8524 -9.7832 23.305)
ak022f14ttv1,1.6,"23 km NW of Fishhook, Alaska",1669235474052,1669235597833,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022f14ttv1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022f14ttv1&format=geojson,,,,,automatic,0,39,ak,022f14ttv1,",ak022f14ttv1,",",ak,",",origin,phase-data,",,,0.49,,ml,earthquake,"M 1.6 - 23 km NW of Fishhook, Alaska",POINT Z (-149.4881 61.9167 43.4)
ak022f14s3ge,1.9,"4 km ESE of Hope, Alaska",1669234985264,1669237657510,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022f14s3ge,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022f14s3ge&format=geojson,1.0,2.2,,,automatic,0,56,ak,022f14s3ge,",ak022f14s3ge,",",ak,",",dyfi,origin,phase-data,",,,0.42,,ml,earthquake,"M 1.9 - 4 km ESE of Hope, Alaska",POINT Z (-149.5579 60.9025 27.2)
nc73810726,1.08,"1km NNE of The Geysers, CA",1669234851560,1669238173105,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73810726,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73810726&format=geojson,1.0,0.0,,,automatic,0,18,nc,73810726,",nc73810726,",",nc,",",dyfi,nearby-cities,origin,phase-data,scitech-link,",25.0,0.01376,0.03,78.0,md,earthquake,"M 1.1 - 1km NNE of The Geysers, CA",POINT Z (-122.75383 38.786499 2.01)
ak022f14raky,1.8,"53 km E of Denali National Park, Alaska",1669234771061,1669234913461,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022f14raky,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022f14raky&format=geojson,,,,,automatic,0,50,ak,022f14raky,",ak022f14raky,",",ak,",",origin,phase-data,",,,0.73,,ml,earthquake,"M 1.8 - 53 km E of Denali National Park, Alaska",POINT Z (-150.6621 63.5884 1.1)
ci40380016,1.06,"14km SW of Ocotillo Wells, CA",1669234328990,1669234546186,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40380016,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40380016&format=geojson,,,,,automatic,0,17,ci,40380016,",ci40380016,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",24.0,0.1179,0.17,62.0,ml,earthquake,"M 1.1 - 14km SW of Ocotillo Wells, CA",POINT Z (-116.2538333 33.0651667 9.8)
ak022f14p6n2,1.6,"12 km ENE of Fox, Alaska",1669234186866,1669234280070,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022f14p6n2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022f14p6n2&format=geojson,,,,,automatic,0,39,ak,022f14p6n2,",ak022f14p6n2,",",ak,",",origin,phase-data,",,,0.16,,ml,earthquake,"M 1.6 - 12 km ENE of Fox, Alaska",POINT Z (-147.3659 65.0003 4.5)
ci40380008,0.94,"23km ESE of Anza, CA",1669233224670,1669235955151,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40380008,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40380008&format=geojson,,,,,reviewed,0,14,ci,40380008,",ci40380008,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",25.0,0.1102,0.22,73.0,ml,earthquake,"M 0.9 - 23km ESE of Anza, CA",POINT Z (-116.4466667 33.4725 3.35)
nc73810721,0.37,"13km NW of The Geysers, CA",1669232650310,1669233430650,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73810721,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73810721&format=geojson,,,,,automatic,0,2,nc,73810721,",nc73810721,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.006396,0.01,89.0,md,earthquake,"M 0.4 - 13km NW of The Geysers, CA",POINT Z (-122.8769989 38.8421669 2.37)
hv73233307,2.45,"15 km NNE of P?hala, Hawaii",1669232589460,1669239136630,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73233307,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73233307&format=geojson,,,,,reviewed,0,92,hv,73233307,",hv73233307,",",hv,",",origin,phase-data,",46.0,,0.14,63.0,ml,earthquake,"M 2.5 - 15 km NNE of P?hala, Hawaii",POINT Z (-155.412666666667 19.3291666666667 8.6)
nc73810716,1.37,"14km E of Seven Trees, CA",1669232040120,1669234933808,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73810716,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73810716&format=geojson,,,,,automatic,0,29,nc,73810716,",nc73810716,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.04322,0.1,54.0,md,earthquake,"M 1.4 - 14km E of Seven Trees, CA",POINT Z (-121.6786652 37.3093338 5.74)
us7000irw4,4.2,"6 km NNE of Nagareyama, Japan",1669232000005,1669237348226,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000irw4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000irw4&format=geojson,1.0,2.7,,,reviewed,0,272,us,7000irw4,",us7000irw4,",",us,",",dyfi,origin,phase-data,",31.0,1.519,0.69,139.0,mb,earthquake,"M 4.2 - 6 km NNE of Nagareyama, Japan",POINT Z (139.9185 35.9108 84.298)
ak022f147mxf,1.8,"25 km SE of Susitna North, Alaska",1669231679871,1669231764852,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022f147mxf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022f147mxf&format=geojson,,,,,automatic,0,50,ak,022f147mxf,",ak022f147mxf,",",ak,",",origin,phase-data,",,,0.18,,ml,earthquake,"M 1.8 - 25 km SE of Susitna North, Alaska",POINT Z (-149.5419 61.984 46.8)
hv73233257,1.59,"29 km E of Honaunau-Napoopoo, Hawaii",1669231120350,1669239875540,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73233257,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73233257&format=geojson,,,,,reviewed,0,39,hv,73233257,",hv73233257,",",hv,",",origin,phase-data,",10.0,,0.12,117.0,ml,earthquake,"M 1.6 - 29 km E of Honaunau-Napoopoo, Hawaii",POINT Z (-155.584 19.492 -1.34)
ak022f14339b,1.9,"41 km SSW of Nanwalek, Alaska",1669230398715,1669230507681,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022f14339b,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022f14339b&format=geojson,,,,,automatic,0,56,ak,022f14339b,",ak022f14339b,",",ak,",",origin,phase-data,",,,0.19,,ml,earthquake,"M 1.9 - 41 km SSW of Nanwalek, Alaska",POINT Z (-152.2858 59.0295 67.1)
ak022f13oxy3,2.0,"5 km NNW of Houston, Alaska",1669228838032,1669228955886,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022f13oxy3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022f13oxy3&format=geojson,,,,,automatic,0,62,ak,022f13oxy3,",ak022f13oxy3,",",ak,",",origin,phase-data,",,,0.45,,ml,earthquake,"M 2.0 - 5 km NNW of Houston, Alaska",POINT Z (-149.8658 61.673 27.5)
ak022f13o9mf,2.9,"Andreanof Islands, Aleutian Islands, Alaska",1669228636805,1669235288123,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022f13o9mf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022f13o9mf&format=geojson,,,,,reviewed,0,129,ak,022f13o9mf,",ak022f13o9mf,",",ak,",",origin,phase-data,",,,0.65,,ml,earthquake,"M 2.9 - Andreanof Islands, Aleutian Islands, Alaska",POINT Z (-174.336 51.3461 4.2)
