id,mag,place,time,updated,felt,cdi,mmi,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,lon,lat,depth,dist
ci40382688,0.72,"10km SSE of Idyllwild, CA",2022-11-30 15:45:52.220,2022-11-30 15:49:27.815,,,,automatic,0,8,ci,40382688,",ci40382688,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",27.0,0.06153,0.19,102.0,ml,earthquake,-116.6946667,33.6516667,14.28,16
us6000j5sn,5.6,"49 km NE of Bandar-e Lengeh, Iran",2022-11-30 15:17:42.331,2022-11-30 15:48:55.585,6.0,4.0,7.185,reviewed,0,652,us,6000j5sn,",us6000j5sn,usauto6000j5sn,at00rm62hk,pt22334000,",",us,usauto,at,pt,",",dyfi,internal-moment-tensor,internal-origin,losspager,origin,phase-data,shakemap,",100.0,0.154,0.73,25.0,mww,earthquake,55.2139,26.8894,10.0,16
ak022fcmiocy,1.1,"85 km NNW of Karluk, Alaska",2022-11-30 15:15:20.979,2022-11-30 15:17:08.830,,,,automatic,0,19,ak,022fcmiocy,",ak022fcmiocy,",",ak,",",origin,phase-data,",1.0,0.0587,0.33,110.0,ml,earthquake,-155.1013,58.2552,10.0,16
nc73813141,1.42,"2km W of Anderson Springs, CA",2022-11-30 15:15:06.160,2022-11-30 15:44:13.852,,,,automatic,0,31,nc,73813141,",nc73813141,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",8.0,0.01511,0.01,84.0,md,earthquake,-122.7188339,38.7775002,10.0,16
nc73813136,1.88,"13km ESE of Hidden Valley Lake, CA",2022-11-30 15:13:44.290,2022-11-30 15:33:13.790,,,,automatic,0,54,nc,73813136,",nc73813136,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.07427,0.07,68.0,md,earthquake,-122.4290009,38.7551651,10.0,16
ak022fcmh0t0,0.8,"85 km NNW of Karluk, Alaska",2022-11-30 15:07:49.007,2022-11-30 15:09:17.376,,,,automatic,0,10,ak,022fcmh0t0,",ak022fcmh0t0,",",ak,",",origin,phase-data,",1.0,0.0587,1.39,110.0,ml,earthquake,-155.0246,58.2754,10.0,16
ak022fcmgzje,0.7,"34 km NNE of Whittier, Alaska",2022-11-30 15:07:32.587,2022-11-30 15:09:12.031,,,,automatic,0,8,ak,022fcmgzje,",ak022fcmgzje,",",ak,",",origin,phase-data,",1.0,0.0587,0.73,110.0,ml,earthquake,-148.407,61.0557,10.0,16
nc73813126,2.11,"13km ESE of Hidden Valley Lake, CA",2022-11-30 14:45:45.210,2022-11-30 15:49:10.879,2.0,2.0,,automatic,0,69,nc,73813126,",nc73813126,",",nc,",",dyfi,nearby-cities,origin,phase-data,scitech-link,",19.0,0.07263,0.08,99.0,md,earthquake,-122.4266663,38.7578316,10.0,16
hv73247062,2.1099999,"26 km E of Honaunau-Napoopoo, Hawaii",2022-11-30 14:43:40.910,2022-11-30 14:46:58.420,,,,automatic,0,68,hv,73247062,",hv73247062,",",hv,",",origin,phase-data,",34.0,0.0587,0.389999986,85.0,md,earthquake,-155.61083984375,19.4204998016357,10.0,16
hv73247057,1.70000005,"27 km E of Honaunau-Napoopoo, Hawaii",2022-11-30 14:42:18.390,2022-11-30 14:45:10.720,,,,automatic,0,44,hv,73247057,",hv73247057,",",hv,",",origin,phase-data,",9.0,0.0587,0.170000002,91.0,md,earthquake,-155.604507446289,19.4346675872803,10.0,16
nc73813121,0.74,"8km WNW of Cobb, CA",2022-11-30 14:38:00.410,2022-11-30 15:32:10.898,,,,automatic,0,8,nc,73813121,",nc73813121,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.01605,0.03,128.0,md,earthquake,-122.8108368,38.8396683,10.0,16
ci40382664,1.05,"21km ESE of Little Lake, CA",2022-11-30 14:37:56.670,2022-11-30 14:41:28.345,,,,automatic,0,17,ci,40382664,",ci40382664,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",19.0,0.08882,0.15,116.0,ml,earthquake,-117.6903333,35.8736667,10.0,16
ak022fcm0nk5,1.5,"39 km NW of Ninilchik, Alaska",2022-11-30 14:31:12.370,2022-11-30 14:33:25.140,,,,automatic,0,35,ak,022fcm0nk5,",ak022fcm0nk5,",",ak,",",origin,phase-data,",1.0,0.0587,0.26,110.0,ml,earthquake,-152.1902,60.2969,82.0,16
ak022fclzfuy,1.2,"16 km ESE of Livengood, Alaska",2022-11-30 14:25:46.027,2022-11-30 14:27:27.288,,,,automatic,0,22,ak,022fclzfuy,",ak022fclzfuy,",",ak,",",origin,phase-data,",1.0,0.0587,0.4,110.0,ml,earthquake,-148.2371,65.4444,12.7,16
ak022fclz01i,1.4,"22 km WSW of Tyonek, Alaska",2022-11-30 14:23:41.028,2022-11-30 14:25:07.927,,,,automatic,0,30,ak,022fclz01i,",ak022fclz01i,",",ak,",",origin,phase-data,",1.0,0.0587,0.26,110.0,ml,earthquake,-151.5044,60.9709,67.0,16
ak022fclwt9f,1.8,"15 km WNW of Seldovia Village, Alaska",2022-11-30 14:13:20.036,2022-11-30 14:14:57.608,,,,automatic,0,50,ak,022fclwt9f,",ak022fclwt9f,",",ak,",",origin,phase-data,",1.0,0.0587,0.38,110.0,ml,earthquake,-151.8902,59.5517,55.5,16
nc73813101,2.28,"12km SE of Talmage, CA",2022-11-30 14:12:56.830,2022-11-30 15:33:14.791,,,,automatic,0,80,nc,73813101,",nc73813101,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",25.0,0.0587,0.1,68.0,md,earthquake,-123.0858307,39.0448341,10.0,16
ak022fclv5rx,1.5,"45 km ENE of Susitna North, Alaska",2022-11-30 14:05:49.097,2022-11-30 14:08:15.228,,,,automatic,0,35,ak,022fclv5rx,",ak022fclv5rx,",",ak,",",origin,phase-data,",1.0,0.0587,0.87,110.0,ml,earthquake,-149.0333,62.3088,33.1,16
ci40382656,1.58,"19km ESE of Anza, CA",2022-11-30 14:05:08.330,2022-11-30 14:15:47.530,,,,automatic,0,38,ci,40382656,",ci40382656,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",39.0,0.05949,0.23,58.0,ml,earthquake,-116.484,33.4891667,12.95,16
ci40382648,0.51,"5km W of Cathedral City, CA",2022-11-30 14:05:02.970,2022-11-30 14:08:39.472,,,,automatic,0,4,ci,40382648,",ci40382648,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",19.0,0.1504,0.35,180.0,ml,earthquake,-116.5175,33.7801667,10.0,16
ak022fclhkeq,1.0,Southern Alaska,2022-11-30 13:42:01.799,2022-11-30 13:44:47.232,,,,automatic,0,15,ak,022fclhkeq,",ak022fclhkeq,",",ak,",",origin,phase-data,",1.0,0.0587,1.06,110.0,ml,earthquake,-149.6968,61.834,44.0,16
us6000j5s1,4.8,"near the north coast of Papua, Indonesia",2022-11-30 13:30:13.796,2022-11-30 13:53:10.040,,,,reviewed,0,354,us,6000j5s1,",us6000j5s1,",",us,",",origin,phase-data,",62.0,0.154,0.57,107.0,mb,earthquake,139.0121,-2.7999,44.48,16
ak022fcldb1u,1.2,"12 km ESE of Knik-Fairview, Alaska",2022-11-30 13:22:19.384,2022-11-30 13:24:25.419,,,,automatic,0,22,ak,022fcldb1u,",ak022fcldb1u,",",ak,",",origin,phase-data,",1.0,0.0587,0.46,110.0,ml,earthquake,-149.3938,61.4523,18.6,16
ak022fcld4ts,0.5,"88 km ESE of King Salmon, Alaska",2022-11-30 13:21:38.728,2022-11-30 13:22:51.340,,,,automatic,0,4,ak,022fcld4ts,",ak022fcld4ts,",",ak,",",origin,phase-data,",1.0,0.0587,0.1,110.0,ml,earthquake,-155.3048,58.3394,114.0,16
hv73246907,2.6500001,"Island of Hawaii, Hawaii",2022-11-30 13:21:21.260,2022-11-30 13:24:29.430,,,,automatic,0,108,hv,73246907,",hv73246907,",",hv,",",origin,phase-data,",19.0,0.0587,0.109999999,162.0,md,earthquake,-155.483505249023,19.158332824707,34.2700004577637,16
ak022fcla5lv,1.5,"17 km SSW of Petersville, Alaska",2022-11-30 13:07:49.151,2022-11-30 13:10:08.621,,,,automatic,0,35,ak,022fcla5lv,",ak022fcla5lv,",",ak,",",origin,phase-data,",1.0,0.0587,0.53,110.0,ml,earthquake,-150.8685,62.3433,60.1,16
hv73246887,1.83000004,"1 km SSW of P?hala, Hawaii",2022-11-30 13:06:32.940,2022-11-30 13:09:46.440,,,,automatic,0,52,hv,73246887,",hv73246887,",",hv,",",origin,phase-data,",39.0,0.0587,0.119999997,78.0,md,earthquake,-155.484664916992,19.1883335113525,31.8600006103516,16
ak022fckzgkx,0.4,,2022-11-30 12:57:59.218,2022-11-30 12:59:41.132,,,,automatic,0,2,ak,022fckzgkx,",ak022fckzgkx,",",ak,",",origin,phase-data,",1.0,0.0587,0.25,110.0,ml,earthquake,-155.046,58.2384,10.0,16
ak022fckz6fl,1.3,"56 km SW of Cantwell, Alaska",2022-11-30 12:56:34.165,2022-11-30 12:59:36.710,,,,automatic,0,26,ak,022fckz6fl,",ak022fckz6fl,",",ak,",",origin,phase-data,",1.0,0.0587,0.4,110.0,ml,earthquake,-149.7002,63.0127,92.3,16
pr2022334000,3.6,"53 km NNE of Cruz Bay, U.S. Virgin Islands",2022-11-30 12:48:00.470,2022-11-30 13:23:38.186,,,,reviewed,0,199,pr,2022334000,",pr2022334000,",",pr,",",origin,phase-data,",9.0,0.154,0.32,180.0,md,earthquake,-64.5146,18.7393,10.0,16
nc73813091,1.44,"14km E of Seven Trees, CA",2022-11-30 12:39:00.730,2022-11-30 14:50:13.517,,,,automatic,0,32,nc,73813091,",nc73813091,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.04409,0.02,54.0,md,earthquake,-121.6798325,37.3089981,10.0,16
ak022fckvaf5,1.4,"19 km NE of Point Possession, Alaska",2022-11-30 12:38:13.138,2022-11-30 12:41:18.972,,,,automatic,0,30,ak,022fckvaf5,",ak022fckvaf5,",",ak,",",origin,phase-data,",1.0,0.0587,0.49,110.0,ml,earthquake,-150.4025,61.0286,33.5,16
